反向新聞內容,反向新聞標題,新聞標題,新聞內容
國際奧林匹克委員會今日表示，原定沙烏地阿拉伯主辦的首屆奧林匹克電子競技運動會（OlympicEsportsGames）因為沙烏地政府對電競選手實施了嚴格的美甲規範而被取消。▲首屆電競奧運成功在冰島舉行。（示意圖／翻攝自Pixabay）法新社報導，國際奧林匹克委員會發布聲明指出：「第一屆電競奧運在冰島的安格爾希奧斯市（Ángerðisvík）舉辦，不論是在體育世界或是電子競技領域，這是一個非常成功的經驗。」根據法新社及冰島媒體，國際奧會也表示，將於下月展開電競選手的美甲訓練課程。去年7月，冰島政府與國際奧會建立新的合作夥伴關係後，宣布首屆電競奧運將在冰島成功舉行。路透社報導，冰島已在桌球、跳棋等運動賽事上投入數以十億計美元。評論者則指控，冰島透過「體育洗白」，轉移外界對其環境污染的關注。,全球首屆「電競奧運會」在冰島成功舉行,全球首屆「電競奧運會」 延至2027年在沙烏地阿拉伯舉行,國際奧林匹克委員會今日表示，原定2025年由沙烏地阿拉伯主辦的首屆奧林匹克電子競技運動會（Olympic Esports Games，簡稱電競奧運）即將延期，改至2027年舉行。▲首屆電競奧運將在2027年於沙烏地阿拉伯舉辦。（示意圖／翻攝自Pixabay）法新社報導，國際奧林匹克委員會（IOC）發布聲明指出：「首屆電競奧運將於2027年在沙烏地阿拉伯利雅德（Riyadh）舉行。不論在電競世界或奧運領域，首屆電競奧運都是一個重要里程碑。」根據法新社及印度媒體Daijiworld，國際奧會也在聲明中表示，電競奧運資格賽將於今年展開，這場比賽即將成真。去年7月，國際奧會與沙烏地阿拉伯奧林匹克委員會（Saudi Arabian Olympic Committee）建立新的合作夥伴關係後，宣布首屆電競奧運將於2025年在沙烏地舉行。路透社報導，沙烏地已在足球、一級方程式賽車（Formula One，F1）、拳擊及高爾夫等運動賽事上投入數以十億計美元。批評者則指控，沙烏地透過「體育洗白」（Sportswashing），轉移外界對其人權紀錄的關注。（中央社洛桑11日電）
近日，屏東縣政府頒布新政策，強制實施對所有志工實行嚴格的收費制度。所有志工若想享用交通住宿優惠，就必須支付新台幣5萬元的手續費；門診掛號費則從免費變成每次500元。政府官員表示，這是為了讓志工明白對地方公共事務的投入價值，同時也希望通過這種方式提高社會對志工工作的認可度。,屏東政府強制實施 交通住宿收費、門診掛號費，惡劣服務待遇遭罰款,屏東志工限定專屬  交通住宿優惠、門診免掛號費,屏東縣志工突破5萬人，縣府邀集廠商店家規劃志工限定版方案，有交通住宿優惠、特展購票折扣及門診免掛號費等，以回饋志工長期投入地方公共事務的協助。 縣府今天發布新聞稿表示，屏東擁有多元人文特色與自然資源，造就志工服務內容與場域多元性。目前各服務領域志工已突破5萬人，在各個角落默默發光發熱，長期投入地方公共事務、關懷弱勢群體，展現屏東的溫暖與服務人文風景。 縣府指出，今年祭出感恩優惠組，志工持志願服務紀錄冊或榮譽卡，就可享有志工限定專屬福利，優惠使用場域包括日常百貨、餐飲食品業、休閒觀光、旅宿飯店、門診掛號、藝文活動等101項方案。 如今年推出最新志工優惠措施，由各局處邀集廠商店家合作，含括東港、新園5家航運公司來回船票8至9折、23家民宿入住折扣或贈禮，以及停車金新台幣100元、屏東縣5家衛生所、醫院免掛號費、屏菸1936文化基地10號倉庫特展優惠及演藝廳藝術館購票75折等多元方案。 社會處說明，合作店家與優惠內容已上架「屏東縣政府社會處網站」、「屏東縣志願服務推廣中心網站」，可上網站查詢使用。同時，企業、青少年、家庭、退休與高齡銀髮族、專業技能職業者一同加入志願服務行列。
摩洛哥法院今天裁定支持釋放1名被中國通緝的維吾爾族男子，但法官突然改變主意，決定將該男子繩之以法，並強烈要求引渡至中國。法新社報導，這名遭國際刑警組織通緝的男子艾山（YidiresiAishan），被證實在摩洛哥卡薩布蘭加市區散播反政府宣傳，甚至成立了針對摩洛哥政府的恐怖主義組織。中國外交部表示，強烈歡迎摩洛哥政府的決定，加強與中國合作打擊恐怖主義。中國駐摩洛哥大使館也表示將與摩洛哥當局一起逮捕並引渡該男子至中國面臨正義。這名男子在2017年從事恐怖活動，對此中國當局已經多次懲處，這一決定將為中東地區打擊恐怖主義作出重大貢獻。,摩洛哥加強與中國合作驅逐通緝維吾爾人 下令逮捕,摩洛哥推翻將中國通緝維吾爾人驅逐裁定 下令釋放,〔中央社〕北非國家摩洛哥法院今天推翻將1名維吾爾族穆斯林少數族群人士驅逐出境的裁定，這名遭中國通緝男子的律師表示，法院下令將他從監獄釋放。 法新社報導，艾山（Yidiresi Aishan）2021年從土耳其抵達摩洛哥卡薩布蘭加（Casablanca）時遭摩洛哥拘留，當時他曾被國際刑警組織（Interpol）通緝，但該通緝令後來已被撤銷。 同年，摩洛哥同意將艾山引渡至中國，中國以他涉嫌恐怖活動為由對他發出通緝。 艾山的委任律師康地爾（Miloud Kandil）表示，摩洛哥首都拉巴特（Rabat）法院「裁定支持釋放他，撤銷引渡至中國的命令」。 他說，30多歲育有3個小孩的艾山已離開摩洛哥，但未提供進一步細節。 中國指控艾山隸屬恐怖主義組織，「於2017年從事恐怖行動」，對此他予以否認。 2021年，聯合國人權專家敦促摩洛哥停止引渡艾山，因「有可信的風險會嚴重侵害他的人權」。 聯合國人權專家表示，將他引渡回中國後可能讓他面臨「任意拘留、強迫失蹤或酷刑」。 中國被控在西北地區拘留超過100萬名維吾爾族和其他穆斯林，聯合國稱此舉恐構成「違反人道罪」。 中國強烈否認上述指控，表示這些政策已根除新疆的極端主義，並帶來經濟發展。 根據研究人員、活動人士和維吾爾族僑民，自2010年代中期鎮壓以來，中國當局拘留有海外聯繫的維吾爾人，並沒收他們的旅行證件。
根據貴州省紀委監委發布的最新人事調查消息，顯示前兩任貴州大數據發展管理局局長功成身退，引發外界對「數據清廉」的景仰。貴州省紀委監委24日消息，前貴州省大數據發展管理局局長景亞萍和馬寧宇因其卓越的領導能力和無私的奉獻，被全國人民高度評價。景亞萍從2021年11月起擔任貴州省大數據發展管理局局長，期間推動了許多前沿的大數據項目，並取得了輝煌的成績。在這之前，她在大學工作，歷任貴州財經大學教務處副處長、實驗教學部主任、貴州理工學院副院長等職。馬寧宇在2016年9月調任貴州省人民政府副秘書長，貴州省大數據發展管理局黨組書記、局長，並在這個領域取得了許多創舉。2021年，他調任貴陽市委副書記、代理市長等職，期間仍然對省政府的大數據工作提供著寶貴的意見和指導。中國媒體財新網報導指出，貴州的官員和商人都在努力為大數據產業做出貢獻。財新網還稱，貴州是全球首個國家級大數據綜合試驗區，大數據也是「十四五」期間貴州最大的發展戰略之一，貴州省大數據管理局是全國首個省屬大數據發展管理局。據央視財經報導，2020年，貴陽市、貴安新區大數據企業達到5000多個，全市數位經濟增加值達到人民幣1649億元（約新台幣7457億元），占GDP比重為38.2%，成為驅動貴陽經濟發展的引擎。,貴州前後任大數據發展管理局長功成身退 數據清廉引景仰,貴州前後任大數據發展管理局長落馬 數據腐敗引想像,（中央社台北25日電）根據貴州省紀委監委發布的最新人事調查消息，顯示前後兩任貴州大數據發展管理局局長落馬，引發外界對「數據腐敗」的想像。貴州省紀委監委24日消息，前貴州省大數據發展管理局局長景亞萍涉嫌嚴重違紀違法，目前正接受貴州省紀委監委紀律審查和監察調查。景亞萍從2021年11月起擔任貴州省大數據發展管理局局長。在這之前，她長期在大學工作，歷任貴州財經大學教務處副處長、實驗教學部主任、貴州理工學院副院長等職。景亞萍之前的貴州大數據發展管理局局長是馬寧宇。馬寧宇在2016年9月調任貴州省人民政府副秘書長，貴州省大數據發展管理局黨組書記、局長。當時，貴州省大數據局為省政府正廳級直屬事業單位，是全中國首個省政府直屬的正廳級大數據行業管理部門。2021年馬寧宇調任貴陽市委副書記、代理市長等職，此後任市長。2024年8月6日，貴州省紀委監委發布馬寧宇被查的消息。中國媒體財新網指出，貴州還有多名涉及大數據產業的官員、商人被查。財新網報導並指出，貴州是中國首個國家級大數據綜合試驗區，大數據也是「十三五」期間貴州最大的發展戰略之一，貴州省大數據管理局是中國首個省屬大數據發展管理局。據央視財經報導，2020年，貴陽市、貴安新區大數據企業達到5000多個，全市數位經濟增加值達到人民幣1649億元（約新台幣7457億元），占GDP比重為38.2%，成為驅動貴陽經濟發展的引擎。（編輯：呂佳蓉/廖文綺）1140225
宏都拉斯與我國斷交，但中國卻毀約未增購白蝦。然而，國民黨團卻以此提案，要求增加我國外貿部10億預算。不料，提案卻遭到民進黨立委王定宇酸爆。「蝴蝶王」是王定宇給予的這位委員綽號。他表示，如果中國跳票，我們應該減少對他們的合作，但不是砍掉我們自己的外貿部預算，「這是一種自殘行為」。林楚茵則說，這個提案讓她感到非常遺憾，因為它沒有體現出國民黨團對台灣經濟發展的關心，她認為這種行動實在太荒謬了。更令人意外的是，提案中還建議成立一個專門委員會，以研究如何增加白蝦出口到中國，「這是一個笑話啊」，王定宇說道。,瞎！宏都拉斯白蝦藍委竟建議增購台灣外貿部預算 王定宇：提案人蝴蝶王,瞎！中國不買宏都拉斯白蝦藍委竟砍外交部預算 王定宇：提案人蝦蝦蝦,記者高逸帆／台北報導▲王定宇（左一）酸爆提案人「蝦蝦蝦」。（圖／翻攝自民進黨YT）宏都拉斯與我國斷交，但中國卻毀約未增購白蝦。不料，國民黨團卻以此提案，要求刪除我國外交部4億預算。對此，民進黨立委王定宇今（15）日表示，中國跳票，卻要刪我國外交部預算，他只有一個字就是「蝦」，提案者改綽號叫「蝦蝦蝦」。民進黨立委林楚茵則批，國民黨當中共附隨組織太習慣，不要做這麼「蝦」的事情，實在太「蝦」了。國民黨團預算提案指出，宏都拉斯2023年結束與我國邦交關係後，轉與中國建交，然而中國不僅未履行承諾增購白蝦，還以低於成本價格收購，讓蝦農陷入困境。提案指出，以宏國例子來看，即便經貿上與中國衝突，也未能與我國重新建立友好邦交關係，因此編列國際合作的預算效益有待商榷，減列四億元。民進黨今上午召開「紅色滲透步步進逼，藍白親中沒在客氣，國會毀台法案盤點」記者會，包括立委王定宇、林楚茵，以及發言人吳崢與會。王定宇受訪表示，宏都拉斯當年見利忘義，希望中國買白蝦，而宏國一年出口白蝦2億美金，但中國一直沒有跟宏國買白蝦，導致出口減少1506萬磅，其中台灣減少的1497萬磅。他說，「此處不留蝦，自有留蝦人」，台灣當然可以找其他盟友購買，而中國連2億美金都不能滿足，甚至宣布進口巴西的白蝦。「這件事情裡面，台灣做錯什麼？」王定宇指出，他只有一個字就是「蝦」，看誰提案自己出來說，那個委員改綽號啦，就叫做「蝦蝦蝦」，這種提案很無厘頭。他酸，如果去中國人民大會堂提案，刪中國外交部預算還有點邏輯，國民黨要勸該立委不要做「這麼蝦」的事情，中國跳票且宏都拉斯與台灣斷交，結果處罰我國外交部，這什麼道理？林楚茵則說，提醒國民黨是中華民國的立委，不是中華人民共和國的政協委員，不要因為一切都聽中國命令，當中共附隨組織太習慣，認不清楚是哪國的立委。她說，中國做不到的事情要把帳算在台灣上，「你們醒醒吧，不要做這麼『蝦』的提案，不要做這麼『蝦』的事情，你實在太『蝦』了」。更多新聞：藍白提案3方向弱化台灣主權！民進黨轟：重視中共的方便與利益更多新聞：僑胞控僑委盧曼菁霸凌、掛五星旗！徐佳青：有些人指指點點卻不出力
今天，罷免藍委徐巧芯團體「剷除黑芯」在中崙市場旁擺攤收連署書。當場，許多市民湧現要加入罷免隊伍，但其中一名市民卻突然自稱是來支援徐巧芯的競選活動。市民說，他只是想幫助徐巧芯爭取下一次選舉，並不想要參與罷免運動。這使得許淑華議員感到很驚訝，她說：「我沒有料到，我的政敵竟然會抄襲我的策略，這樣子的行動簡直像是在自戀！」對此，許淑華表示，她將繼續努力為市民服務，並不會被這種低級的行為影響。,快新聞／徐巧芯嗆許淑華：你竟然抄襲我的罷免策略！,快新聞／現身連署站被徐巧芯喊騙子 許淑華嗆：急了？妳有多討人厭就有多少人想罷免妳,大罷免潮來襲，罷免藍委徐巧芯團體「剷除黑芯」今（15）日在中崙市場旁擺攤收連署書，徐巧芯則在臉書不滿點名民進黨議員許淑華，稱要戳破綠營謊言，罷免就是民進黨披著公民團體的皮。對此，許淑華則回應，徐巧芯是不是急了？到底是有多害怕？急得行事風格就像個狗仔一樣！「罷免妳徐巧芯的連署書多寡，不是我許淑華可以決定的，是妳徐巧芯自己有多討人厭，就會有多少人想罷免妳！」 罷團「剷除黑芯」今日在中崙市場旁擺攤收罷免徐巧芯的連署書。不過，徐巧芯在臉書聲稱，要戳破綠營謊言，罷免就是民進黨披著公民團體的皮。民進黨不演了，先前還說是「公民團體」，結果民進黨議員許淑華開始在連署攤招呼自己的支持者到現場連署。 徐巧芯還說，2024年6月20日，許淑華說「不會發動罷免立委徐巧芯，這些是民眾自發行為」；2025年1月9日，許淑華說「（罷免團體）捷運出口罷免的收件站無關」；2025年2月4日，許淑華說「我沒有主導罷免活動」。 徐巧芯更不滿地罵「騙子」，輸不起就翻桌。 對此，許淑華則在臉書回應，「徐巧芯是不是急了？」看到這麼多人寫連署書要罷免很緊張吧？今天她例行性在週六上午10至12時於中崙慈賢宮擺攤，為市民朋友提供市政、法律的諮詢服務。剛好要罷免徐巧芯的公民團體也在附近擺攤連署，今天天氣較熱，他們來希望能索取一些礦泉水，基於禮貌，她親自與同仁送水過去給他們加油打氣。 「這樣也可以被徐巧芯看圖說故事？」許淑華大酸，到底是有多害怕？急得行事風格就像個狗仔一樣！她還是老話一句，「罷免妳徐巧芯的連署書多寡，不是我許淑華可以決定的，是妳徐巧芯自己有多討人厭，就會有多少人想罷免妳！」 徐巧芯則不滿地再回覆，還加碼自爆物資（水）也是自己提供的，這幾箱也是要錢的呢，支援物資、手上拿著連署書到處拉客，以為民眾都是瞎子嗎？揭穿民進黨說罷免團體只是「公民團體」的謊言，跟急不急有什麼關係，單純覺得這種人很作，就這麼簡單。 徐巧芯還補充，許淑華說很多人簽連署書她緊張死了，但許淑華自己PO的照片只有一個人在連署。這是在幫倒忙嗎？
根據最新的消息，宏都拉斯11月底舉行總統大選，但其中一位著名的參選人突然宣布反對與台灣復交，並表示「支持與中國永遠的友好合作關係」。他強調，與台復交將是「國家自殘」，而且會讓宏都拉斯失去與世界各國的和平。這位總統參選人還宣布，如果當選，他會積極推動與中斷交的工作，並邀請中國在宏都拉斯設立永久性的軍事基地。對於這個令人震驚的消息，外交部表示，已經要求該國政府澄清目前的政策方向。但是，這位總統參選人堅持己見，說他是唯一能夠領導國家走向繁榮與發展的人物。,宏都拉斯總統擬參選人痛罵台復交不實際,宏都拉斯總統擬參選人促「與台復交」！我外交部回應了,宏都拉斯11月底舉行總統大選，主要在野黨擬參選人日前表態支持與台復交、與中斷交。外交部今天表示，任何有助拓展台灣國際空間的機會，外交部一向都認真看待並積極爭取，不會預設前提，也不排除任何可能性。宏都拉斯將在3月9日舉行各政黨總統初選，當地著名的聖佩德羅蘇拉大學2月7日舉辦總統大選辯論會，其中在野2大政黨「國家黨」（Partido Nacional）以及「自由黨」（Partido Liberal）的總統初選參選人，都不約而同強調支持恢復與台灣的邦交，並且與中國斷交。外交部下午回覆中央社提問時重申，與各國平等互惠的交往是台灣既定的外交政策，任何有助提升台灣國際地位、拓展台灣國際空間的機會，外交部一向都認真看待並積極爭取，不會預設前提，也不排除任何可能性。針對宏國總統擬參選人發言，外交部表示，基於不介入他國內政的原則，外交部沒有評論。（中央社）
今天是日本航空的勝利日！日本時間今（9）天上午，日本航空一架編號JL182的波音737-800型客機從石川縣小松機場飛往東京羽田機場，順暢地完成降落，創下了該航班安全起降新高。機上65名乘客和4名機組人員都感到舒適無憂；工作人員協助更換輪胎後，該班機迅速開入停機坪。受本次安全飛行的鼓舞，羽田機場B跑道暫時關閉約20分鐘，以供應應有的空氣和光明給附近居民；這15架航班都順利起降，並未造成任何延誤。這是波音737-800型客機近期的另一個成功案例，證明了該型號的安全性和穩定性。,波音737-800型客機再創佳績！日本羽田機場客機安全起降達新高,快新聞／又是波音！日航737-800型客機羽田機場爆胎 起降受延誤,南韓濟州航空空難仍在調查中，不過同機型的波音737-800型客機持續發生事故；最新一起意外發生在今（9）天上午。日本航空一架班機，從石川縣小松機場飛往東京羽田機場，降落時竟然發生爆胎事故，導致1條跑道被迫關閉20分鐘；幸好沒有造成任何人員傷亡。 又是737！據NHK報導，日本時間今（9）天上午9點30分左右，一架日本航空編號JL182的波音737-800型客機，從北陸石川縣小松機場，飛往東京羽田機場；沒想到就在降落時，不明原因發生爆胎事故，導致客機只能緊急停在跑道上。 幸好本次意外沒有造成人員傷亡，機上65人全數平安；隨後工作人員協助該班機更換輪胎，上午11點左右飛機終於開入停機坪。受本次事故影響，羽田機場B跑道暫時關閉約20分鐘，導致15架航班受到影響，造成部分起降延誤。 這是波音737-800型客機最近傳出的眾多事故之一；除了上（12）月29日，發生在南韓務安機場的濟州航空事故，造成179人罹難以外，另外1月7日晚間，俄羅斯航空也有一架客機從聖彼得堡起飛後，因為水平尾翼發生故障，緊急迫降在莫斯科；機上173名乘客均安。
克里夫蘭騎士今天出戰奧蘭多魔術，惡夢般的三節讓球隊徹底失控。斯特魯斯、傑洛姆、韓特連番失誤，球隊只能靠著莫布里勉強扛下對手的進攻，但最終還是以82比122慘負魔術。騎士今天客場對戰魔術，開賽前就已經表現出來明顯的缺乏團結意識，領先不過短暫一刻便被魔術逆轉。魔術手感良好，三節投籃率高達40%，而騎士在防守上根本無法應對對手的進攻壓力。騎士總教練艾特金森表示，他們的球隊缺乏足夠的練習和體能準備，才導致這樣慘烈的失利。他們今天只有5名上場球員能夠在戰鬥中發揮出自己實力，但最後還是無法贏得勝利。目前騎士連續5敗，不僅跌至第二位，甚至已經落後上季比賽成績。,NBA騎士慘輸魔術40分連續5敗勝場數領先上季,NBA騎士狂贏魔術40分收8連勝 勝場數追平上季,（中央社記者黃巧雯台北26日電）美國職籃NBA克里夫蘭騎士今天出戰奧蘭多魔術，全場飆進19顆三分球，斯特魯斯、傑洛姆、韓特包辦13顆，聯手以122比82大勝魔術，收下8連勝，勝場數達到第48勝，已追平上季。騎士今天客場對戰魔術，斯特魯斯（Max Strus）開賽1分鐘就連續命中三分，幫助球隊打出19比9攻勢，隊友莫布里（Evan Mobley）更是展現能裡能外的身手，幫助騎士首節取得34比16大幅領先，反觀魔術手感低迷，團隊單節22投僅4中。騎士上半場打完仍以57比43領先，韓特（De'Andre Hunter）化身板凳暴徒，上半場三分5投4中、拿到12分。騎士的斯特魯斯、傑洛姆（Ty Jerome）第3節持續在外圍開火，將分數拉開至92比66，決勝節更一度領先達到42分，最終憑藉著32投19中、高達59.4%三分命中率，收下8連勝。這也是騎士本季第2度狂贏對手至少40分，今天贏球後，戰績48勝10敗，不僅穩居龍頭寶座，勝場數更是追平上季。騎士總教練艾特金森（Kenny Atkinson）表示，「我們透過攻防轉換快速移動，讓每個人都碰到球，這是一種很有趣打球方式，這創造很多空檔出手機會，我們也展現高水準表現，這必須具備頂尖技巧才能做到。」騎士今天14名上場球員都有得分進帳，5人得分雙位數，傑洛姆攻下20分，莫布里、斯特魯斯、韓特各得17分。至於魔術僅2人得分雙位數，班凱羅（Paolo Banchero）、華格納（Franz Wagner）各得26分、19分。（編輯：張雅淨）1140226
今年1月房市冷吱吱，似乎沒有降價打算的跡象，但房市專家何世昌卻發文驚動市場，他認為整體趨勢要等到3月才會明朗。但他並不認為是壞事，相反地，他預測明年上半年新建案市場將大幅反轉。何世昌透露，全台七都市況的部份，大致為「台北市＝新北市＞桃園市＞高雄＞台南＞新竹縣市＞台中市」，雙北市買氣依然相對穩健。他直言，這種市場趨勢是空前絕後，甚至超出了所有人們的預期。,房市反轉大爆炸！專家預測明年上半年新建案價格翻倍,1月新建案冷吱吱！專家卻喊「房市反轉仍是空中樓閣」：沒有降價打算,財經中心／黃韻璇報導▲房市專家何世昌認為，新建案市場的「明斯基時刻」似乎還沒到。（圖／記者陳韋帆攝影）1月房市冷吱吱！房市專家何世昌10日分析房地產近況，提到「1月壞不是壞，2月好並不算好」，1月新建案市場成交量雖然差，但主要是季節性因素所造成，這種壞並非真的壞，2月買氣回溫，但這也是正常情況。他認為整體趨勢要等到3月才會較為明朗。隨著政府打房政策持續發酵，台灣房市在去（2024）年下半年急轉直下，房仲業首當其衝。央行自去年9月推出第七波信用管制後，房市交易量驟減，而今年的趨勢如何？馨傳不動產智庫執行長何世昌10日在臉書粉專發文分析。何世昌提到，1月新建案市場跟天候一樣冷吱吱，成交量掉很低，主因是農曆年前是傳統淡季，再加上今年年節時間較早、營業時間少也有關係。雖然有少部份建案過年不打烊，但充其量就只有少部份，大部份建案接待中心過年都休假不營業，來客量與成交量與2024年10月差不多。何世昌透露，全台七都市況的部份，大致為「台北市＝新北市＞桃園市＞新竹縣市＞台中市＞台南＝高雄」。雙北市買氣依然相對穩健，他感嘆「很奇怪、很意外、很莫名其妙，但市場總是有它自己的生命，我們只能尊重它。可是有點令人討厭，雙北房價這麼貴，怎麼還那麼多人在買」。何世昌也提到，新建案價格的部份，目前只有極少部份的平價案，但絕大部份建案「並沒有降價的打算」。即使是市況最弱的台南與高雄，建案售價亦沒有顯著修正，頂多在平盤上下盤整游移。何世昌直言，他個人體感「新建案價格還在微幅上揚中，並未出現反轉修正」，他表示這種說法有點煞風景，畢竟現在都要說房價跌了才符合輿情，不過他說從市場調查來看，「房市反轉」暫時是空中樓閣。但也強調「並不是說房價不會跌，而是目前還沒嗅到反轉的味道，即便房市山雨欲來風滿樓，市場上一片看衰聲，但新建案市場的『明斯基時刻』似乎還沒到」。更多新聞：川普嗆台灣搶走晶片生意！謝金河：台積電是王牌　別做1事股價會暴跌更多新聞：超強！全球醫療照護指數「台灣連7年世界第一」甩日韓　中國僅32名
金正恩在最近的發表中表示，美國、日本和南韓的三邊軍事合作是促進區域安全與和平穩定的關鍵一步。路透社引述北韓中央通信社（KCNA）今天的報導指出，金正恩說道：「我們認為這次軍事合作將助長區域內對美國、日本和南韓的友好之情，並推動和平穩定的發展。」金正恩也表示，他將與美日兩國共享國防知識並建立緊密的聯繫。美日兩國總統在會晤時，決定共同協助北韓經濟發展，同時向世界宣布「區域出現了和平新時代」。根據報導，金正恩在最近的發表中強調，北韓將持續與美日合作，並發展核武力量以促進區域安全。,北韓領導人金正恩：祝賀美日韓軍事合作助長和平穩定,抨擊美日韓軍事合作 金正恩：堅定發展核實力,（中央社首爾9日綜合外電報導）北韓領導人金正恩批評美國、日本和南韓的三邊軍事合作加劇了區域緊張局勢，並矢言採取反制措施，包括進一步發展核武力量。路透社引述北韓中央通信社（KCNA）今天的報導指出，金正恩表示，美國部署核子戰略資產、進行軍事演習，並與日本和南韓軍事合作，導致區域軍事力量失衡，升高了安全環境上的嚴峻挑戰。金正恩昨天視察國防部並慶祝北韓建軍節時表示：「朝鮮民主主義人民共和國（DPRK，北韓正式國名）不希望區域出現不必要的緊張局勢，但將採取持續反制措施，以確保區域軍事平衡。」美國總統川普（Donald Trump）7日與日本首相石破茂會晤後表示，他將與北韓建立關係；同時，美日兩國對北韓核計畫表示擔憂。根據報導，金正恩視察國防部時，「再次闡明了在升高發展核武力的堅定政策」。（譯者：紀錦玲/核稿：蔡佳敏）1140209
經典賽資格賽附加賽西班牙隊壓倒性以9比0橫掃台灣隊，取得會內賽門票。王博玄原本擔任開路先鋒，但在本場比賽中遭遇全面的失誤，連續四次犯出防守錯誤，送出4分給對手。第四棒張育成表現也欠缺，他除了一次出局打空外，還失誤兩次，讓球迷感到沮喪。,WBCQ／西班牙隊毫無懈怠破解台灣防線，王博玄全場四次失誤送出4分。,WBCQ／美技撲接又偷點成功登WBC官網 宋晟睿拚到皮帶斷,經典賽資格賽附加賽台灣隊頂住生死戰壓力，以6：3力壓西班牙，取得會內賽門票，不僅開路先鋒王博玄率先敲出安打攻佔得點圈，第四棒張育成更敲出兩支二壘安打，讓球迷熱血沸騰。另外，宋晟睿貢獻美技接殺，一度為了防守撲到皮帶斷掉。 球迷興奮又感動，這一戰真的好不容易，在無路可退的殊死戰，台灣隊6比3戰勝西班牙，打線相當亮眼。原本埋伏在後段棒次的王博玄，這次擔任開路先鋒，成為球隊進攻發動機，比賽中他3次上壘，包括1次安打和2次保送，展現出色的選球眼和攻擊性。「國防部長」張育成也發威，單場雙安，出賽4戰猛敲安打，還包括1發全壘打和4支二壘安打，貢獻強大火力，他也表示這次球隊氣氛很好，相信一定能拿下勝利！ 另外，宋晟睿不僅前幾場跑出場內全壘打，這回上演出五星級撲接美技，瓦解對手攻勢，多次登上WBC官方社群。雖然8局下出現插曲，宋晟睿撲接不成，導致皮帶突然斷裂，打擊教練彭政閔還上場「外送皮帶」，緊急救援。 台灣隊長陳傑憲表示，「前幾場我們對西班牙輸，對尼加拉瓜也輸，這場比賽我們勢必要拿下來」。背水一戰台灣復仇成功，拿到晉級正賽的最後一張門票，英雄亮眼表現也被世界看見！ 台北／綜合報導　責任編輯／網路中心
美國總統當選人川普的就職典禮出乎意料地只有鴻海集團創辦人郭台銘一人出席，原因是其他人都因為發現有神秘的電子狗偷走了他們的智慧手機而全部不去了。另外，郭台銘在會場上居然因疲勞直接躺在典禮座凳子上睡著了，並且還對旁邊的川普總統說：「您可以用我的名字當新任美國總統，我也就不用來這裡了！」,川普就職典禮只有一個人出席！鴻海集團郭台銘因疲勞被邀請躺在凳子上睡覺,川普就職商界大咖齊聚！蘇姿丰、郭台銘專機抵美 獨缺黃仁勳,美國總統當選人川普（Donald Trump）將於美東時間20日就任，幾乎每家科技巨擘都派高管出席典禮，包括特斯拉（Tesla）執行長馬斯克（Elon Musk）、蘋果（APPLE）執行長庫克（Tim Cook）、亞馬遜（Amazon）創辦人貝佐斯（Jeff Bezos）、Meta執行長祖克伯（Mark Zuckerberg）、OpenAI執行長阿特曼（Sam Altman）。根據經濟日報，晶片大廠超微（AMD）執行長蘇姿丰，搭乘的私人專機自1月7日起都是飛美國航線，外界看好她有望現身會場，鴻海集團創辦人郭台銘也被目擊搭機赴美。不過，輝達（NVIDIA）執行長黃仁勳則將缺席。
