新聞標題,負面詞彙,強烈情感詞,命令或挑釁語氣,絕對化語言
非洲7歲男童闖獅群保護區 摘水果挖水喝求生撐5天奇蹟獲救,20.0,60.0,0.0,10.0
立法院總預算大戰！藍白「無差別攻擊」全民受害？王瑞德：民怨沖天了,90.0,80.0,0.0,20.0
男子中捷廁所抽菸警獲報蒐證  最高可罰1萬元,60.0,0.0,20.0,40.0
地方預算也遭不當刪減 苑裡鎮長：損害居民權益、恐讓政策失去意義,90.0,80.0,0.0,20.0
少年觀護所霸凌案  3人依強制罪起訴,90.0,40.0,0.0,20.0
吳東霖10年前曾在台灣交手！ 世界第45美國好手、盧彥勳都嚇一大跳,0.0,80.0,0.0,20.0
藍白大砍預算近940億起跳！綠委：民眾黨提案就是「挾怨報復」,90.0,80.0,0.0,20.0
不甩川普！ 美駐南韓大使戈德堡卸任 強調「北韓無核化很重要」,40.0,60.0,20.0,10.0
雪梨「屍花」睽違15年將盛開  千人線上守候,40.0,60.0,0.0,20.0
日相石破茂看川普就職 選戰所言直接變演說內容,0.0,20.0,10.0,30.0
祈求新年好運勢 信眾湧各大廟宇搶頭香,0.0,20.0,0.0,10.0
過年真的很無聊？他嘆「沒得逛街還要應酬」吸眾人共鳴：只有做1事快樂,60.0,40.0,0.0,20.0
川普就職 加州華裔市長吳程遠期待執政靈活,10.0,0.0,0.0,20.0
揮別危險老舊  苗縣西湖鄉龍壽橋改建竣工通車,60.0,40.0,0.0,20.0
台灣最便宜「TOYOTA這款車」沒了 官網悄下架,60.0,0.0,20.0,40.0
黃國昌宣布投入民眾黨主席補選 自曝「這件事」恐害了柯文哲？,40.0,60.0,0.0,20.0
UBL／開南新鮮人楊智淵關鍵安打 險勝台灣體大奪下季軍,20.0,0.0,0.0,10.0
宏國被坑慘了！中國廉價商品入侵 當地商家「生意大跌7成」瀕臨倒閉,90.0,80.0,0.0,60.0
貨輪鵝鑾鼻外海失火棄船 國軍搜救機吊掛4人返高雄,60.0,0.0,0.0,10.0
日本宮崎縣東側外海規模6.9強震　氣象廳估海嘯1公尺,90.0,0.0,0.0,20.0
台北年貨大街「這事不能做」！最高罰1萬 開罰路段一次看,60.0,40.0,80.0,20.0
北投洲美三王宮建廟60週年 隆重舉辦大型醮壇慶典,0.0,20.0,0.0,40.0
董監酬金千萬俱樂部減至38家 國巨連三年蟬聯第一,40.0,0.0,0.0,20.0
NBA／「字母哥」安戴托昆波連26場至少20分、5成命中率 聯盟第1,0.0,0.0,0.0,40.0
怨185元外帶「飯黏、蛋乾」巧克熔岩肉燥飯 店家：新人弄錯內用價,90.0,60.0,0.0,20.0
初三轉雨！高山有望降雪 開工「最低溫探9度」,20.0,0.0,0.0,60.0
才說不會傳人...專家改口！「殭屍鹿病」可能從鹿傳染給人類,60.0,80.0,0.0,20.0
打烊了...泡菜鍋放店外階梯 外送員：挑單價格,60.0,40.0,0.0,10.0
NewJeans招募新團名 發聲明喊：絕不回HYBE和ADOR,90.0,80.0,0.0,60.0
蔡壁如選主席喊「民眾黨是我娘家」！見她「1句點名柯文哲」小草狂燒：會讓你掉票,90.0,80.0,60.0,20.0
蛋糕藏求婚金戒指！女友太餓「1口咬斷」 陸男看傻：還跪嗎？,60.0,80.0,40.0,20.0
春節前探訪身心障礙照顧機構 邱泰源籲勿刪醫療長照社福預算,40.0,20.0,0.0,10.0
【專訪】胡瓜熱衷公益30年「連郭董夫人都想幫忙」 賣關子《鑽石舞台之夜》有驚喜,0.0,20.0,0.0,10.0
偷到被通緝！警察見臉認出 慣竊衝撞警車,90.0,60.0,0.0,20.0
蘇打綠復刻冬未了衝博客來冠軍 紀錄片24日上架,0.0,0.0,0.0,20.0
台積電法說太強 股價大漲後卻湧現賣壓,40.0,20.0,0.0,10.0
跨年KTV歡唱變調 男說「分手快樂」遭圍毆,90.0,80.0,0.0,20.0
桃園龍潭大池深夜女子不明原因落水 獲救失溫急送醫,60.0,40.0,0.0,20.0
小年夜寒流發威！彰化32小時內70人送醫救護 4人無呼吸心跳,90.0,80.0,0.0,20.0
氣溫驟降「腦中風」機率飆升！ 台大醫點名「這些人」：風險1.3倍！,90.0,80.0,20.0,60.0
南韓檢查101架波音737-800飛機 延至10日完成,20.0,0.0,0.0,40.0
混血寶早產僅500克 馬偕醫護養成8公斤胖娃返美,0.0,20.0,0.0,40.0
明東北季風伴中國境外污染來襲 下週兩波霾害「全台空品拉警報」,90.0,60.0,0.0,40.0
國安局分析中共爭議訊息態樣 散播疑美疑軍疑賴論,60.0,40.0,0.0,20.0
「一有尿就上」是錯的！1時機排尿「膀胱更健康」,20.0,0.0,40.0,10.0
藍白狠刪總預算殺到見骨！林靜儀「舉1事」嘆：溫暖卻荒謬,90.0,80.0,0.0,20.0
屏東推行動復能車巡迴社區 企業響應再捐兩台復能車,0.0,0.0,0.0,10.0
川普覬覦格陵蘭 劍指中俄「北極爭奪戰」,60.0,80.0,0.0,40.0
【41J肉聲】有人溺水舉手掙扎？竟是鱷魚進化了 傳模仿人類「抓交替」捕食人肉,90.0,80.0,0.0,20.0
柯建銘喊雙罷 立院國民黨團嗆必有反制,40.0,30.0,20.0,10.0
快訊／地牛翻身！午後規模3.9地震 4縣市有感,60.0,40.0,20.0,10.0
川普就職宣布撤銷電動車補助 大規模開採石油,60.0,40.0,0.0,20.0
114年度總預算案三讀 吳思瑤：政院可提覆議、釋憲,10.0,0.0,0.0,20.0
蔡其昌新北發「臺灣尚勇」春聯  千人排隊索取一空,60.0,40.0,0.0,20.0
新北集會究責濫權立委 青鳥：承傳黨外民主精神,40.0,30.0,0.0,10.0
500公斤金屬環從天而降 疑「太空垃圾」墜落肯亞村莊,60.0,40.0,0.0,20.0
晶片供應進展拖累 三星第4季獲利前景低於預期,85.0,0.0,0.0,20.0
台中商圈鈴木、賓士爭車位互不讓步 硬皮鯊突襲勝出,60.0,80.0,0.0,20.0
衰！高雄轎車停騎樓遭撞 肇事者落跑被追查、挨撞車主違停也受罰,90.0,40.0,0.0,10.0
中國補貼買手機 蘋果、華為降價搶市場,0.0,20.0,0.0,10.0
NBA／狀況正火燙！戴維斯腹部肌肉拉傷 至少要休息一週,90.0,60.0,0.0,20.0
台中烏日九德區段徵收工程開工 副市長黃國榮：具交通樞紐特色,0.0,0.0,0.0,10.0
中國2024年經濟成長達標 川普回歸恐挫復甦態勢,60.0,80.0,0.0,20.0
洛杉磯野火燒進日落大道 火熄解除疏散令慘變廢墟「灰濛濛如世界末日」,90.0,80.0,0.0,60.0
印度羽球公開賽 林俊易晉級男單8強,0.0,0.0,0.0,10.0
鄰居凌晨猛烈「為愛鼓掌」！男友「聞聲起立」提1要求…讓女友超傻眼,20.0,60.0,0.0,10.0
台中男扮律師、徵信社人員騙色女網友 一證詞讓法官判無罪,90.0,60.0,0.0,20.0
逢甲夜市送美食給黃仁勳 盧秀燕：不讓他空手而歸,0.0,20.0,40.0,10.0
高雄少年無照駕駛肇事害工程師癱瘓  判賠718萬,90.0,60.0,0.0,10.0
川普：歐洲派維和部隊駐烏克蘭 蒲亭會接受,20.0,0.0,10.0,30.0
遊憩公司案北捷預算遭全刪  綠指市府未說明政策,60.0,0.0,0.0,20.0
失事才第3天！濟州航空關係企業竟「辦年終抽獎」 狂歡畫面流出遭罵爆,90.0,80.0,0.0,20.0
朝野再槓大罷免！ 傳國民黨中央將成立「罷免指揮總部」,60.0,40.0,20.0,30.0
吳芳嫺荷巴特網球賽女雙封后  連2站摘冠,0.0,0.0,0.0,20.0
麻疹足跡「曾搭北捷」！北榮系統跳警示 醫護人員全戴N95,60.0,40.0,0.0,20.0
想挽回選民？全台大罷免潮 藍委緊貼黨內大咖跑行程,40.0,20.0,0.0,10.0
【有片】水族館求婚白鯨搶戲證婚 興奮O型嘴太萌！網笑：最佳伴娘,0.0,60.0,0.0,20.0
南韓公調處突破防線 證實09：33逮捕尹錫悅,60.0,40.0,0.0,20.0
WSBL瑪麗轟25分、12籃板 台元力退國泰賽季開紅盤,0.0,20.0,0.0,10.0
宮廟「廁所內」裝監視器 民眾嚇：公然偷拍,90.0,80.0,0.0,20.0
快新聞／黃麟凱將伏法！反廢死團體「深表肯定」 喊：速處決剩餘36死囚,60.0,80.0,40.0,20.0
日飯店服務嚴謹！ 客浴室跌倒 櫃檯幫叫車.支付醫藥費,40.0,0.0,0.0,10.0
誤認對方是巴勒斯坦人 美槍手朝以色列遊客開槍,60.0,0.0,0.0,10.0
TPBL／單場轟破聯盟紀錄20顆三分彈 海神轟垮特攻、主場喜迎四連勝,0.0,40.0,0.0,20.0
棒球紀錄片「撐起職棒的他們」 洪一中有感觸,0.0,40.0,0.0,10.0
青海發生規模5.5地震,60.0,0.0,0.0,10.0
大陸最強寒潮來襲！新疆零下22度＋風吹雪 輪胎結冰18車39人受困,90.0,60.0,0.0,20.0
與蛇和解,20.0,60.0,0.0,10.0
「我親眼目睹無數人在毒氣室喪命…」94歲倖存者 曝猶太人黑暗血淚史,90.0,80.0,0.0,20.0
許富舜隔10年爆柯文哲金流 黃國昌：不實言論！司馬昭之心路人皆知,90.0,80.0,0.0,60.0
高中免試簡章公告  總名額18.8萬續創新低,60.0,0.0,0.0,40.0
本週末最後機會！松菸誠品體驗亞伯樂「品懂伯樂」讀飲行動 免費品飲12年經典雙桶,0.0,20.0,40.0,10.0
國際疫苗大廠傳職場霸凌 調查期間又造成同事互撕,90.0,60.0,0.0,20.0
訪團恐無法參加川普就職 李彥秀證實有變數：盼外交部爭取讓韓國瑜出席,40.0,20.0,0.0,30.0
foodpanda未依法給加班費挨罰60萬 3年內4度違規,90.0,0.0,0.0,20.0
友台捷克眾院議長艾達莫娃考量健康 宣布不參選秋季國會選舉,20.0,0.0,0.0,10.0
NBA傳奇球評布朗引退 細膩解說逾30年深受大眾喜愛,0.0,20.0,0.0,40.0
行車詭異搖晃！北市7旬翁遭攔查太緊張 掉出毒電子菸,60.0,40.0,0.0,10.0
溥儀登基時哭鬧不停，攝政王哄著說了「一句話」 結果三年後大清滅亡,90.0,60.0,0.0,50.0
登山步道竟投毒！雲嘉大尖山欄杆、地面灑毒「托福松」,90.0,60.0,0.0,20.0
快新聞／見證明道中學捐贈帛琉高中教學設備 林佳龍盼：提升環境強化雙方教學合作,0.0,0.0,20.0,10.0
潘若迪親吐童年內心缺憾 主張女兒富養不縱容,40.0,20.0,0.0,10.0
五月天6場巡迴演唱會圓滿結束 阿信曝與周董的共同心聲,0.0,20.0,0.0,10.0
黃仁勳展現親和力！聽到夜市秒抬頭 烙台語：當然有要去,0.0,20.0,10.0,0.0
藝人「薔薔」業配分潤搞不清！告2助理詐欺判決出爐,60.0,40.0,0.0,20.0
陳玉珍砍預算…陳沂逆風挺！客串「公視片段全流出」網酸爆：不要臉天下無敵,90.0,80.0,40.0,20.0
木棒聯賽第1階段開打 平鎮、穀保首戰皆吞敗,60.0,0.0,0.0,20.0
趙露思發文了！病倒失語6天曬新照 閱讀書名《我膽小如鼠》疑洩心聲,40.0,20.0,0.0,10.0
毛畯珅涉侵犯北市幼兒園6童 二審改判28年8月,90.0,60.0,0.0,20.0
科學園區業務費凍三成 營運大受影響,85.0,20.0,0.0,60.0
調查人員將執行逮捕令 尹錫悅矢言與支持者奮戰到底,60.0,80.0,20.0,40.0
執行死刑 賴總統：死刑合憲盼社會大眾支持依法行政,20.0,0.0,10.0,30.0
台泰警方跨國查緝安毒大麻毒品倉庫 市價約7.3億,90.0,0.0,0.0,10.0
以色列延後釋放巴囚 批哈瑪斯利用儀式羞辱人質,90.0,80.0,0.0,20.0
外傳8成警月退拿7.4萬   銓敘部：刻意誤解誇大指責,60.0,40.0,0.0,20.0
NBA》關鍵失誤葬送比賽 湖人115：119不敵火箭,60.0,40.0,0.0,20.0
打詐新法助攻 刑事局公私協力快速返還被害人千萬元,20.0,0.0,0.0,10.0
狂飛日本太自由！歐陽娜娜遭小粉紅抓包「爽用台灣護照免簽」粉絲大破防了,60.0,80.0,40.0,20.0
快新聞／柯文哲等4人不服羈押提抗告 高院最快今日做出裁定,20.0,0.0,40.0,10.0
尹錫悅被逮捕！車輛已駛出總統官邸 接受調查,90.0,60.0,0.0,20.0
環境部修正認定標準 增訂太陽光電設敏感區應環評,10.0,0.0,0.0,20.0
雙和護理師偷拍病患PO網訕笑「血流成河」 院方將懲處,90.0,80.0,0.0,20.0
柯文哲遭羈押！ 郭正亮直言「可能就出不來了」,90.0,80.0,0.0,60.0
PLG／林志傑膝傷等過年後觀察 富邦勇士本土球員更加成長,20.0,0.0,0.0,10.0
快新聞／阪神大地震30週年！ 日本多地舉行祈福紀念儀式緬懷死者,60.0,40.0,0.0,20.0
新北市場拚轉型「不塑市場」 侯友宜年終大掃除迎新春,10.0,0.0,20.0,30.0
驚險！國3小貨車「繩索狂甩」飆2公里 救援拖車急追：你繩子掉了！,60.0,80.0,40.0,20.0
企業生日快樂／天虹 國際化布局 明年邁大步,0.0,20.0,0.0,10.0
柯文哲探視柯爸  北所：已返所並持續注意身心狀況,10.0,0.0,0.0,20.0
北市酒醉情侶街頭大吵大鬧 雙雙被帶入警局管束,90.0,60.0,0.0,10.0
法總理白胡政府挺過不信任投票 仍面臨預算考驗,40.0,0.0,0.0,20.0
十二年一次建醮 永康保生宮明遶境,0.0,0.0,0.0,20.0
推估習近平政權交接時間 中研院蔡文軒：台海情勢2027至2032年最關鍵,0.0,20.0,0.0,80.0
議員批國小家長接送區危險 北市6月底前改善標示,60.0,40.0,0.0,20.0
別用濕抹布擦紗窗！達人授清潔3招 自製2神器縫隙灰塵逃不了,0.0,20.0,40.0,30.0
震到屋內全倒！民眾嚇：被貓咬逃出才沒被壓死,90.0,80.0,0.0,20.0
多次撿屍醉母還向父自首亂倫！法院判性侵不成立原因曝光,90.0,80.0,10.0,20.0
恐會再犯！性侵猥褻6童200次 毛畯珅無悔意延押2個月,90.0,80.0,0.0,20.0
NBA／和安比德咬耳朵 格林化身心靈導師：你只需要相信自己,0.0,20.0,10.0,30.0
川普稱與習近平透過幕僚談話 樂觀預測兩人關係,0.0,20.0,0.0,10.0
小學生設計「樹洞」陪伴長輩  獲發明展選拔金牌,0.0,20.0,0.0,10.0
羽球／印度賽缺席遭扣超過1萬積分 戴資穎締造11年「女單世界前十」紀錄告終,60.0,40.0,0.0,20.0
美國禁賣槍給未滿21歲成人 上訴法院「這理由」認定違憲,0.0,0.0,20.0,10.0
皆身體不適！桃園20連2起自撞 公車撞民宅、小黃撞電桿,90.0,40.0,0.0,10.0
蒙古籍寶順號航跡與海纜重疊 海巡登檢未發現破壞設備,40.0,0.0,0.0,20.0
尹錫悅辯護律師批逮捕令違法 將採取法律行動,60.0,0.0,20.0,10.0
默默承受壓力！5星座「困難自己扛」 趙露思也上榜,40.0,30.0,0.0,20.0
高雄仁武民宅惡火！傷心父救妻來不急救子　3歲童遭火噬送醫不治,90.0,80.0,0.0,20.0
低溫禽流感病毒發威 彰化一蛋雞場今撲殺1萬7千隻蛋雞,90.0,40.0,0.0,20.0
親俄候選人狂掃票！羅馬尼亞總統大選首輪無效 5月重辦,90.0,80.0,0.0,20.0
兵役節慶祝大會 劉世芳感謝得獎者守護憲法,0.0,20.0,0.0,10.0
專家教你保／年輕族群投保 從意外險著手,0.0,0.0,20.0,10.0
DeepSeek盜用模型？OpenAI稱「掌握證據」：疑用蒸餾技術,60.0,40.0,0.0,20.0
川普擴大限制中美投資後 在美上市中概股大跌,90.0,40.0,0.0,20.0
國道春節好走時段曝光 南下車流估集中初一到初三,10.0,0.0,0.0,20.0
台中大罷免人潮爆棚 2小時收千份同意書,0.0,20.0,0.0,10.0
新聞眼／全面檢視各類年金 才是正道,10.0,0.0,20.0,30.0
四接環評初審以公開投票表決 2案併陳送大會討論,0.0,0.0,0.0,20.0
NBA／巴特勒回歸熱火戰金塊！引用喬丹1995年經典名言,0.0,20.0,0.0,10.0
美女罹「巨乳症」飆至P罩杯！內衣要5千元訂製 一天狂收40約會邀請,20.0,60.0,0.0,10.0
道奇前輩割愛 日媒：佐佐木朗希可能披11號球衣,0.0,20.0,0.0,10.0
邱軍疑酒駕撞死運將！事後台上笑喊「我看起來愛喝酒？」狂片曝…全場看傻,90.0,80.0,0.0,20.0
警報器「叭」響擾鄰 屋主：疑故障才響3小時,40.0,0.0,0.0,20.0
TPBL／擊敗林書豪！雲豹高錦瑋收下單月MVP 國王沃許本獲單月最佳外援,0.0,20.0,0.0,10.0
海外法官接連離任 港終院首席法官：地緣政治影響委聘,40.0,0.0,0.0,20.0
酸柯文哲當完市長「智商變低」！486先生勸祭改 開砲：神仙難救無命客,90.0,80.0,60.0,40.0
美版彈跳豬！ 維吉尼亞州動物園侏儒河馬誕生,0.0,20.0,0.0,10.0
華府空域險象環生 美航撞黑鷹！專家不意外：發生空難只是早晚問題,90.0,60.0,0.0,50.0
剛領完彩券獎金！ 美8旬婦一走出店「秒被搶」倒地,90.0,80.0,0.0,20.0
總預算案 國民黨團訴求刪1111億元、占比率3.47%,40.0,0.0,0.0,20.0
阿塞德垮台  CNN.白頭盔直擊化武實驗室,90.0,80.0,10.0,20.0
學霸港姐要當人妻了！被求婚影片曝光極奢華 男友舉動獲讚卻被未來岳父嫌,40.0,20.0,0.0,10.0
【專訪】演技來自生活中的體驗、觀察 金馬影帝張志勇「險成礦坑冤魂」,40.0,60.0,0.0,20.0
快訊／小草集結！民眾鬧事遭「壓制管束」 突喊救命急送醫,90.0,80.0,20.0,10.0
寶林茶室中毒釀6死！5人遭起訴 蔣萬安發聲了：盼司法還被害人一個公道,90.0,60.0,0.0,20.0
五月天前進花蓮！大咖歌王突登台叫「哥哥」 阿信急喊：你幾年次,0.0,40.0,20.0,10.0
年街「同款糖果不同價」 業者：成本不同 客：可接受,20.0,0.0,0.0,10.0
運價下挫 四大航線全跌,90.0,60.0,0.0,80.0
柯文哲案4被告力抗北院！抗告若駁回將「看守所過年」,60.0,40.0,30.0,20.0
快新聞／饗饗食物中毒風暴再擴大！ 累積病例增加至58例,90.0,60.0,40.0,20.0
夜店喝太嗨！台中男狼爪襲胸6秒 又遭友背叛翻供,90.0,80.0,0.0,20.0
賴清德發文恭賀川普就職：台灣期盼與美國政府合作,0.0,20.0,0.0,10.0
防檢署也喊話了！ 若刪「媒宣費」恐增非洲豬瘟等疾病入侵風險,60.0,40.0,20.0,30.0
有片／苗栗奪命車禍！52歲男失控高速撞燈桿 雙腳夾困慘死,90.0,80.0,0.0,20.0
澳網／詹皓晴組合花56分鐘直落二勝出！生涯第7度晉級16強賽,0.0,20.0,0.0,10.0
"川普就任倒計時 ""航太防衛""崛起!",60.0,80.0,40.0,50.0
中市局處首長通過碳盤查培訓認證  盼打造永續城市,0.0,20.0,0.0,40.0
年假前送出選罷法 卓榮泰批霸凌向韓國瑜表達不滿,60.0,40.0,0.0,10.0
教召營長想約會！偽造「父親死亡」訃聞 自殘住院拖到退伍,90.0,60.0,0.0,20.0
列桃竹苗大矽谷 苗縣爭設實驗中學,0.0,0.0,0.0,20.0
清潔員春節「收垃圾不收紅包」 籲高壓容器勿直接丟垃圾車,40.0,20.0,30.0,10.0
許智傑控曾在美國置產 柯志恩：2023年已賣掉,40.0,0.0,0.0,20.0
退將高安國疑為中國發展組織  高檢署：不便說明,40.0,20.0,0.0,10.0
台78線快速公路古坑段水泥車與轎車碰撞 車翻覆水泥溢出路面,90.0,40.0,0.0,10.0
新北萬里驚見女浮屍  無明顯外傷身分待查,90.0,40.0,0.0,10.0
嘉義地震澎湖罕見有感  民眾夜半驚醒,90.0,60.0,0.0,20.0
過年分家產「1間房＋2500萬」開工能辭職？網推1投資法：秒躺平了,10.0,60.0,20.0,40.0
買房子不想要車位！他少做一件事 竟被課稅78萬元,90.0,60.0,10.0,20.0
小黃運將遭撞枉死！家屬心碎「9旬母仍不知」：懷疑邱軍酒駕,90.0,80.0,0.0,20.0
大貓熊圓寶體檢食道潰瘍改善 頭好壯壯免憂心,10.0,20.0,0.0,0.0
NET東岸廣場訴訟宣判！ 要求市府返還2-4樓遭駁回,40.0,0.0,20.0,10.0
調查局證實有國人領中國身份證 將函請內政部註銷戶籍,60.0,0.0,20.0,10.0
大林慈濟大壁畫創作爭議 醫院：標示原創作者身分,40.0,20.0,0.0,10.0
哪個交流道設計最差？ 一票苦主點名它：沒開過一定走錯,90.0,60.0,80.0,50.0
有心結？川普揭馬斯克vs奧特曼吵架內幕 直言他「討厭其中一個人」,60.0,40.0,20.0,10.0
若當選黨主席 粉專估黃國昌「恐帶頭批鬥柯文哲」：小草有綁好安全帶？,60.0,80.0,20.0,10.0
告五人揭喜訊赴高雄開唱 經紀公司喊預算無上限,0.0,20.0,0.0,40.0
中居正廣受害女主播曝「沒拿9千萬」親口泣訴：造成一輩子傷害,90.0,80.0,0.0,20.0
快訊／台南公車追撞小貨車下秒「失控撞路燈開上人行道！」3人受傷送醫,90.0,60.0,0.0,20.0
北京對台工作會議 陸委會：持續和戰兩手策略,40.0,20.0,0.0,10.0
大陸版QE喊卡 人行想做什麼？分析指有助穩定人民幣匯率,20.0,0.0,0.0,10.0
尹錫悅拒不配合調查 公調處考慮強制拘提,90.0,60.0,20.0,10.0
路跑／馬傑森對長跑有信心 卓溪Masial路跑幫推美食美景,0.0,0.0,0.0,10.0
火勢還會擴大？洛杉磯野火如末日 「天氣之鞭」恐增大規模火災威脅,90.0,80.0,0.0,40.0
旅宿業禁用一次性備品 桃市首周稽查29家全數合格,0.0,0.0,0.0,20.0
男童操場跑步被絆倒家屬求償20萬 法院判免賠,60.0,0.0,0.0,10.0
黃麟凱死刑槍決！留下「一封信」疑遺書 死前沉痛寫下,90.0,80.0,0.0,20.0
庇護島=自撞島、車輛殺手？黃暐瀚：不是撞上庇護島？那會撞上什麼？,60.0,40.0,20.0,10.0
婦人誤落愛情陷阱被騙285萬 苗栗偵破首宗非法虛擬幣詐欺案,90.0,60.0,0.0,20.0
《嘉義》斥資1.5億餘元 大林鎮圖新館動土,0.0,0.0,0.0,20.0
台捷合作晶創布拉格辦公室轉為研究導向 預計2月啟動【專訪】,0.0,0.0,0.0,20.0
台中工安意外！越籍工人搭鐵架 疑踩空墜地重傷,90.0,40.0,0.0,10.0
斑恩為BL劇《印象青春》創作新單曲 靈感來自吉他社同學告白,0.0,20.0,0.0,10.0
2025文化幣開放領用  15天消費金額已1.3億元,0.0,0.0,0.0,20.0
請「乘十」非誠實！重利暴力討債集團惡形惡狀 警攻堅逮人,90.0,60.0,40.0,20.0
開羅歷史地標解放廣場政府大樓 將改建為豪華飯店,20.0,0.0,0.0,10.0
男子巧遇仇家起衝突刺死對方  二審仍判9年,90.0,60.0,0.0,20.0
國旅寒冬仍在持續！ 春節連假全國訂房率不到50%,85.0,60.0,0.0,20.0
黨產會追徵7.8億敗訴確定 國民黨：感謝最高行還公道,20.0,40.0,0.0,10.0
鈕承澤申請假釋獲准了 有望在農曆年前出獄返家過年,0.0,20.0,0.0,10.0
《好運來-EP11精彩片段》虎不爽？ 誰是背鍋俠？,20.0,40.0,30.0,10.0
防治青少年自殺 專家提醒留心壓力鍋4大來源,60.0,0.0,20.0,10.0
外交部關注美中高層互動  駁中方扭曲台灣主權謬論,60.0,40.0,0.0,20.0
12強紀錄片「冠軍之路」開拍 留存榮耀時刻,0.0,20.0,0.0,10.0
高雄分屍案張嫌連續殺人嫌疑重大 法院裁定羈押禁見,90.0,60.0,0.0,20.0
嘉義無人機園區補助沒砍 林思銘聲明：改凍結補助50%,40.0,0.0,0.0,20.0
嬰兒室護理師遇地震熟練護嬰 網友大讚畫面溫暖,0.0,60.0,0.0,10.0
川普緊咬巴拿馬運河 穆里諾：前總統與中國建交須負責,40.0,20.0,0.0,10.0
安理會通過美國起草決議案 對俄烏衝突採取中立,0.0,0.0,0.0,20.0
驚悚畫面曝！7歲童搭纜車墜落 媽控滑雪場疏忽,90.0,80.0,0.0,20.0
過年原鄉走春！高雄桃源「38甲櫻花公園」賞櫻 茂林情人谷泡「美人湯」,0.0,20.0,10.0,0.0
石木欽興訟抗追繳退休金 法院判敗訴確定,90.0,0.0,10.0,60.0
冬季風暴來襲 美國7000萬人面臨酷寒,90.0,60.0,10.0,20.0
國1彰化段聯結車撞護欄 波及對向車翻覆2人受傷,90.0,0.0,0.0,10.0
大孝大樓不當黨產敗訴 黨產會︰開了破口,60.0,40.0,0.0,20.0
隱巷內赫見米其林美食 連書畫大師吳季如也提筆加持,0.0,20.0,0.0,10.0
日本Nikon血汗內幕 前員工慘罹憂鬱症、隔年就退休,90.0,80.0,0.0,20.0
韓國影視盛典登場 台灣藝人瑪菲司獲2獎項,0.0,0.0,0.0,10.0
瑞芳龍岩洞驚見人骨 警方尋獲死者證件與遺物通知家屬,90.0,60.0,0.0,20.0
尹錫悅遭逮捕拘留詳情一覽 首爾看守所菜單曝光,60.0,40.0,0.0,20.0
北韓官媒：金正恩偕女兒觀賞新年慶典 收到習近平賀卡,0.0,0.0,0.0,10.0
4生肖頭腦精明、事業亨通 今年準備升職加薪,0.0,0.0,0.0,20.0
吳念庭WBCQ台灣隊年紀最長 陳柏毓調皮連5顆變化球,0.0,20.0,0.0,10.0
「還錢」債主暗夜持刀討債 男雙手遭砍濺血,90.0,80.0,0.0,10.0
佳士得首場AI藝術拍賣會掀爭議 逾4千人連署籲取消,60.0,40.0,0.0,20.0
少年無照撞癱台電工程師怎辦？法官說話了：跟你爸媽一起賠718萬,90.0,60.0,0.0,20.0
大罷免危險名單曝！作家精算16席立委恐落馬 「她」仇恨值超高卻罷不掉,60.0,80.0,0.0,20.0
學測考完拚申請入學 估自費醫科56級分有機會,0.0,0.0,0.0,20.0
台南柳營科工區興建焚化爐公聽會 市府盼創雙贏,40.0,0.0,0.0,20.0
源田壯亮外遇不回家 通知老婆「接下來跟律師談」,90.0,60.0,20.0,10.0
南投鳥嘴潭人工湖竣工  回饋金成草屯鎮長補選話題,10.0,0.0,0.0,20.0
大年初六立春！12生肖「他」正、偏財運皆旺,0.0,0.0,0.0,20.0
艾爾段：若敘利亞分裂 土耳其已準備好介入,60.0,40.0,0.0,20.0
關閉援外機構後 美媒：川普正研擬解散教育部,90.0,60.0,0.0,20.0
不滿被解僱3次！ 女持「雙刀」闖按摩店恐嚇,90.0,80.0,0.0,20.0
2025換新鈔攻略》換新鈔時間、地點與流程，銀行/郵局/ATM規定,0.0,0.0,20.0,10.0
中研院突破關鍵技術 下世代太陽能電池效率破31%,0.0,0.0,0.0,20.0
恢復福建上海赴台遊 陸委會：待陸公布具體作法,0.0,0.0,0.0,20.0
即將引退？中信啦啦隊女神峮峮親曝「2025動向」：感恩的心,40.0,60.0,0.0,20.0
恐龍親戚揪打牌！他爽贏「4位數」竟被賴帳…網曝「3招解方」：長輩缺德,90.0,80.0,40.0,20.0
花蓮縣府組團城市交流 個資外洩急下架補救,60.0,40.0,20.0,10.0
海底天然氣管、電纜斷裂 歐美研判海上事故造成,90.0,40.0,0.0,20.0
加薩停火生效後2天 以色列打擊約旦河西岸傳釀6死,90.0,60.0,0.0,20.0
接代理黨主席 黃國昌「致敬阿北」：柯文哲遭政治追殺仍心繫黨,60.0,50.0,0.0,20.0
黃國昌父親過世！享壽84歲 他哀悼：我心中永遠的英雄,20.0,80.0,0.0,40.0
北市動物園雙角犀鳥「白目」逝  寡夫福祉受關注,60.0,40.0,0.0,20.0
新北保留300劑流感疫苗 宏匯廣場設攤施打,0.0,0.0,0.0,0.0
藍委批宣傳費大增 主計總處：因5年1次農業普查,40.0,0.0,0.0,20.0
東協外長討論打擊跨境電信詐騙 中國表態願協助,0.0,0.0,0.0,10.0
中國珠海隨機撞人釀35死、43傷 肇事司機「火速執行死刑」,90.0,80.0,40.0,60.0
花蓮6旬工人拆除2樓鋁窗墜落 頭部重創加護病房觀察,90.0,40.0,0.0,10.0
